id,name
1313496,Knossington Grange School Limited
2350584,UH Ventures Limited
4204314,Arlacross Limited
4511838,Conveyancing Alliance Limited
5256222,Formformform Ltd
1895693,Struers Limited
4443312,Community Foundation For Leeds
5537144,The Deptford Project Limited
318358,Walsingham College Trust Association Limited
362715,Alwayse Engineering Limited
782122,Farndon Fields Farm Limited
1642201,Teesside Hospice Care Foundation
1888609,GADSBY's of Southwell Limited
3185917,Westbury Care Limited
3355631,Synergy Health Limited
3616536,Leasowe Community Homes
4540041,Shiva Hotels Limited
2797120,Ashley Finance Limited
1643376,Teer Coatings Limited
2960571,Halifax Fan Limited
7208598,Dover Christ Church Academy
7631985,John Masefield High School and Sixth Form Centre
2822364,Roxton Bailey Robinson Limited
3707827,University of Plymouth Enterprise Limited
3253206,Bluewater Services (UK) Limited
4133536,Tmti Limited
5514581,Mepc Limited
673562,Washington Homes Limited
1234892,Premier Marinas (Brighton) Limited
2528998,BOBBY's Foods North West Limited
1843427,Hospice of The Good Shepherd
1958053,Bryant Park Hospitality UK Limited
26688,Action For Blind People
1029811,Crane Electronics Limited
2381543,Orbital Mailing Limited
3083989,Care Fertility (Northampton) Limited
1140727,Fletcher King Services Limited
1351369,St. Davids College Trust
2076610,Urban Splash Work Limited
3027145,Liverpool Victoria Financial Advice Services Limited
7936651,EQT Services (UK) Limited
8272183,GDFC Holdco Limited
9200209,Optionis Group Limited
6176147,Clayton Holdings UK Limited
6378338,Agchemaccess Holdings Limited
8237106,Gosford Hill School
9280192,J. W. Sivil Holdings Limited
2065041,Collegiate Management Services Limited
4816571,Cellular Asset Management Ltd
2404237,Akinika UK Limited
2774189,Gloucestershire Airport Limited
3163234,Rubicon Pastimes Limited
5074011,Amos Nursing Homes Limited
5174452,Malvern International PLC
1221968,Alternative Theatre Company Limited
1230166,Corrocoat Limited
2106218,Springhill House (Accrington) Limited
2263878,Charnwood Fencing Limited
2375124,MCM Group Limited
2691451,Thompsons Plant and Garden Centres Limited
1819946,JCB Insurance Services Limited
4496474,Downing Property Services Limited
1950612,Linkfresh Software Limited
4766939,Castlecare Cymru Limited
5268531,Clifton Moor Limited
5499464,Viridor Polymer Recycling Limited
2510845,United Aluminium Limited
2843752,Vector Industries Limited
4553105,WTL PLC
2321021,Gemaco Holdings Limited
3817295,Eastbrook Facilities Limited
6201243,Eagle House Group Limited
359028,Jacob Beatus Limited
4070861,Ash Gaming Ltd
